regioncode,region
22,Алтайский край
28,Амурская область
29,Архангельская область
30,Астраханская область
31,Белгородская область
32,Брянская область
33,Владимирская область
34,Волгоградская область
35,Вологодская область
36,Воронежская область
77,Москва
78,Санкт-Петербург
92,Севастополь
79,Еврейская АО
75,Забайкальский край
37,Ивановская область
38,Иркутская область
7,Кабардино-Балкария
39,Калининградская область
40,Калужская область
41,Камчатский край
9,Карачаево-Черкессия
42,Кемеровская область
43,Кировская область
44,Костромская область
23,Краснодарский край
24,Красноярский край
45,Курганская область
46,Курская область
47,Ленинградская область
48,Липецкая область
49,Магаданская область
50,Московская область
51,Мурманская область
83,Ненецкий АО
52,Нижегородская область
53,Новгородская область
54,Новосибирская область
55,Омская область
56,Оренбургская область
57,Орловская область
58,Пензенская область
59,Пермский край
25,Приморский край
60,Псковская область
1,Адыгея
4,Алтай
2,Башкортостан
3,Бурятия
5,Дагестан
6,Ингушетия
8,Калмыкия
10,Карелия
11,Коми
91,Крым
12,Марий Эл
13,Мордовия
14,Саха (Якутия)
15,Северная Осетия
16,Татарстан
17,Тыва
19,Хакасия
61,Ростовская область
62,Рязанская область
63,Самарская область
64,Саратовская область
65,Сахалинская область
66,Свердловская область
67,Смоленская область
26,Ставропольский край
68,Тамбовская область
69,Тверская область
70,Томская область
71,Тульская область
72,Тюменская область
18,Удмуртия
73,Ульяновская область
27,Хабаровский край
86,Ханты-Мансийский АО
74,Челябинская область
20,Чечня
21,Чувашия
87,Чукотский АО
89,Ямало-Ненецкий АО
76,Ярославская область
99,Байконур и др.
